correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:19Z,10.145.102.237,2019-03-31T03:36:18Z,9636,5768,3868,62,36,26,46144 bps,30944 bps,36.00 pps,26.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:20Z,10.145.102.237,2019-03-31T03:36:19Z,4347,860,3487,11,6,5,6880 bps,27896 bps,6.00 pps,5.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:21Z,10.145.102.237,2019-03-31T03:36:20Z,6888,2474,4414,29,20,9,19792 bps,35312 bps,20.00 pps,9.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:22Z,10.145.102.237,2019-03-31T03:36:21Z,16033,10519,5514,78,47,31,84152 bps,44112 bps,47.00 pps,31.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:23Z,10.145.102.237,2019-03-31T03:36:22Z,5647,2008,3639,18,12,6,16064 bps,29112 bps,12.00 pps,6.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:24Z,10.145.102.237,2019-03-31T03:36:23Z,11720,2057,9663,24,13,11,16456 bps,77304 bps,13.00 pps,11.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:25Z,10.145.102.237,2019-03-31T03:36:24Z,13611,11907,1704,30,21,9,95256 bps,13632 bps,21.00 pps,9.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:26Z,10.145.102.237,2019-03-31T03:36:25Z,618,618,0,4,4,0,4944 bps,0 bps,4.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:27Z,10.145.102.237,2019-03-31T03:36:26Z,5024,1162,3862,16,9,7,9296 bps,30896 bps,9.00 pps,7.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:28Z,10.145.102.237,2019-03-31T03:36:27Z,76853,74358,2495,83,63,20,594864 bps,19960 bps,63.00 pps,20.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:29Z,10.145.102.237,2019-03-31T03:36:28Z,7932,2928,5004,22,12,10,23424 bps,40032 bps,12.00 pps,10.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:30Z,10.145.102.237,2019-03-31T03:36:29Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:31Z,10.145.102.237,2019-03-31T03:36:30Z,4361,3069,1292,38,19,19,24552 bps,10336 bps,19.00 pps,19.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:32Z,10.145.102.237,2019-03-31T03:36:31Z,6232,2161,4071,20,11,9,17288 bps,32568 bps,11.00 pps,9.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:33Z,10.145.102.237,2019-03-31T03:36:32Z,292,292,0,1,1,0,2336 bps,0 bps,1.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:34Z,10.145.102.237,2019-03-31T03:36:33Z,6506,2031,4475,27,14,13,16248 bps,35800 bps,14.00 pps,13.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:35Z,10.145.102.237,2019-03-31T03:36:34Z,19347,12593,6754,104,53,51,100744 bps,54032 bps,53.00 pps,51.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:36Z,10.145.102.237,2019-03-31T03:36:35Z,177316,12834,164482,277,109,168,102672 bps,1315856 bps,109.00 pps,168.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:37Z,10.145.102.237,2019-03-31T03:36:36Z,351,103,248,4,1,3,824 bps,1984 bps,1.00 pps,3.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:38Z,10.145.102.237,2019-03-31T03:36:37Z,726,623,103,4,3,1,4984 bps,824 bps,3.00 pps,1.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:39Z,10.145.102.237,2019-03-31T03:36:38Z,16000,840,15160,24,12,12,6720 bps,121280 bps,12.00 pps,12.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:40Z,10.145.102.237,2019-03-31T03:36:39Z,510,339,171,4,2,2,2712 bps,1368 bps,2.00 pps,2.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:41Z,10.145.102.237,2019-03-31T03:36:40Z,7137,2343,4794,25,13,12,18744 bps,38352 bps,13.00 pps,12.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:42Z,10.145.102.237,2019-03-31T03:36:41Z,595,68,527,2,1,1,544 bps,4216 bps,1.00 pps,1.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:43Z,10.145.102.237,2019-03-31T03:36:42Z,210,210,0,2,2,0,1680 bps,0 bps,2.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:44Z,10.145.102.237,2019-03-31T03:36:43Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:45Z,10.145.102.237,2019-03-31T03:36:44Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:46Z,10.145.102.237,2019-03-31T03:36:45Z,4106,2814,1292,39,20,19,22512 bps,10336 bps,20.00 pps,19.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:47Z,10.145.102.237,2019-03-31T03:36:46Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:48Z,10.145.102.237,2019-03-31T03:36:47Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:49Z,10.145.102.237,2019-03-31T03:36:48Z,54104,3118,50986,76,30,46,24944 bps,407888 bps,30.00 pps,46.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:50Z,10.145.102.237,2019-03-31T03:36:49Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:51Z,10.145.102.237,2019-03-31T03:36:50Z,4128,2768,1360,40,20,20,22144 bps,10880 bps,20.00 pps,20.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:52Z,10.145.102.237,2019-03-31T03:36:51Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:53Z,10.145.102.237,2019-03-31T03:36:52Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:54Z,10.145.102.237,2019-03-31T03:36:53Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:55Z,10.145.102.237,2019-03-31T03:36:54Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:56Z,10.145.102.237,2019-03-31T03:36:55Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:57Z,10.145.102.237,2019-03-31T03:36:56Z,292,292,0,1,1,0,2336 bps,0 bps,1.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:58Z,10.145.102.237,2019-03-31T03:36:57Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:36:59Z,10.145.102.237,2019-03-31T03:36:58Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:00Z,10.145.102.237,2019-03-31T03:36:59Z,461,393,68,2,1,1,3144 bps,544 bps,1.00 pps,1.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:01Z,10.145.102.237,2019-03-31T03:37:00Z,209,141,68,2,1,1,1128 bps,544 bps,1.00 pps,1.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:02Z,10.145.102.237,2019-03-31T03:37:01Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:03Z,10.145.102.237,2019-03-31T03:37:02Z,210,210,0,2,2,0,1680 bps,0 bps,2.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:04Z,10.145.102.237,2019-03-31T03:37:03Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:05Z,10.145.102.237,2019-03-31T03:37:04Z,3207,2185,1022,18,9,9,17480 bps,8176 bps,9.00 pps,9.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:06Z,10.145.102.237,2019-03-31T03:37:05Z,3543,2009,1534,23,10,13,16072 bps,12272 bps,10.00 pps,13.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:07Z,10.145.102.237,2019-03-31T03:37:06Z,2170,1203,967,16,8,8,9624 bps,7736 bps,8.00 pps,8.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:08Z,10.145.102.237,2019-03-31T03:37:07Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:09Z,10.145.102.237,2019-03-31T03:37:08Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:10Z,10.145.102.237,2019-03-31T03:37:09Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:11Z,10.145.102.237,2019-03-31T03:37:10Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:12Z,10.145.102.237,2019-03-31T03:37:11Z,547,479,68,2,1,1,3832 bps,544 bps,1.00 pps,1.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:13Z,10.145.102.237,2019-03-31T03:37:12Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:14Z,10.145.102.237,2019-03-31T03:37:13Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e741fee85e37,facebook_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:37:15Z,10.145.102.237,2019-03-31T03:37:14Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
