correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-83aee9d95b30,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:19Z,10.148.245.180,2019-03-31T13:59:18Z,41676,14078,27598,100,51,49,112624 bps,220784 bps,51.00 pps,49.00 pps
corr-d096e134b248,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:20Z,10.148.245.180,2019-03-31T13:59:19Z,57339,20133,37206,121,59,62,161064 bps,297648 bps,59.00 pps,62.00 pps
corr-88a57bcf24b7,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:21Z,10.148.245.180,2019-03-31T13:59:20Z,130551,16411,114140,212,96,116,131288 bps,913120 bps,96.00 pps,116.00 pps
corr-f2827b181263,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:22Z,10.148.245.180,2019-03-31T13:59:21Z,66602,23963,42639,168,88,80,191704 bps,341112 bps,88.00 pps,80.00 pps
corr-3f7906aa5fa3,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:23Z,10.148.245.180,2019-03-31T13:59:22Z,141592,13853,127739,186,67,119,110824 bps,1021912 bps,67.00 pps,119.00 pps
corr-34a7509a182a,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:24Z,10.148.245.180,2019-03-31T13:59:23Z,1006970,18416,988554,852,122,730,147328 bps,7908432 bps,122.00 pps,730.00 pps
corr-b3ec01fb87ff,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:25Z,10.148.245.180,2019-03-31T13:59:24Z,629513,34018,595495,728,272,456,272144 bps,4763960 bps,272.00 pps,456.00 pps
corr-cfc642602c48,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:26Z,10.148.245.180,2019-03-31T13:59:25Z,45542,1517,44025,52,19,33,12136 bps,352200 bps,19.00 pps,33.00 pps
corr-623ef14b6668,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:27Z,10.148.245.180,2019-03-31T13:59:26Z,88219,5461,82758,105,41,64,43688 bps,662064 bps,41.00 pps,64.00 pps
corr-5e15509a19df,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:28Z,10.148.245.180,2019-03-31T13:59:27Z,162588,5326,157262,186,68,118,42608 bps,1258096 bps,68.00 pps,118.00 pps
corr-3ca6f6a88358,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:29Z,10.148.245.180,2019-03-31T13:59:28Z,45301,1947,43354,53,21,32,15576 bps,346832 bps,21.00 pps,32.00 pps
corr-2dd1a7b29589,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:30Z,10.148.245.180,2019-03-31T13:59:29Z,247396,10516,236880,285,103,182,84128 bps,1895040 bps,103.00 pps,182.00 pps
corr-df7feb382806,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:31Z,10.148.245.180,2019-03-31T13:59:30Z,96216,4143,92073,118,47,71,33144 bps,736584 bps,47.00 pps,71.00 pps
corr-1534c000d056,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:32Z,10.148.245.180,2019-03-31T13:59:31Z,111219,5250,105969,126,46,80,42000 bps,847752 bps,46.00 pps,80.00 pps
corr-14af8923927a,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:33Z,10.148.245.180,2019-03-31T13:59:32Z,121152,4502,116650,140,49,91,36016 bps,933200 bps,49.00 pps,91.00 pps
corr-38a23b89f4c3,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:34Z,10.148.245.180,2019-03-31T13:59:33Z,242340,9708,232632,277,102,175,77664 bps,1861056 bps,102.00 pps,175.00 pps
corr-df05d1e407f5,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:35Z,10.148.245.180,2019-03-31T13:59:34Z,88985,3530,85455,105,38,67,28240 bps,683640 bps,38.00 pps,67.00 pps
corr-9d5a5875d45e,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:36Z,10.148.245.180,2019-03-31T13:59:35Z,71658,2448,69210,85,31,54,19584 bps,553680 bps,31.00 pps,54.00 pps
corr-342c4d4c2cf3,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:37Z,10.148.245.180,2019-03-31T13:59:36Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-001f58832d50,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:38Z,10.148.245.180,2019-03-31T13:59:37Z,183222,8668,174554,193,50,143,69344 bps,1396432 bps,50.00 pps,143.00 pps
corr-f9a573414ff0,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:39Z,10.148.245.180,2019-03-31T13:59:38Z,227309,14512,212797,215,37,178,116096 bps,1702376 bps,37.00 pps,178.00 pps
corr-fc35265cf672,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:40Z,10.148.245.180,2019-03-31T13:59:39Z,100469,4210,96259,115,28,87,33680 bps,770072 bps,28.00 pps,87.00 pps
corr-2f26eb726e17,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:41Z,10.148.245.180,2019-03-31T13:59:40Z,37609,1957,35652,57,24,33,15656 bps,285216 bps,24.00 pps,33.00 pps
corr-dcdac37d9fb0,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:42Z,10.148.245.180,2019-03-31T13:59:41Z,91369,3314,88055,109,31,78,26512 bps,704440 bps,31.00 pps,78.00 pps
corr-3fde46851975,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:43Z,10.148.245.180,2019-03-31T13:59:42Z,37609,1391,36218,53,18,35,11128 bps,289744 bps,18.00 pps,35.00 pps
corr-2572913e26d6,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:44Z,10.148.245.180,2019-03-31T13:59:43Z,80614,2790,77824,94,24,70,22320 bps,622592 bps,24.00 pps,70.00 pps
corr-e0b5042b263c,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:45Z,10.148.245.180,2019-03-31T13:59:44Z,35905,962,34943,50,13,37,7696 bps,279544 bps,13.00 pps,37.00 pps
corr-2cc30f096ced,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:46Z,10.148.245.180,2019-03-31T13:59:45Z,91495,3447,88048,113,33,80,27576 bps,704384 bps,33.00 pps,80.00 pps
corr-6be71fdbbf7a,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:47Z,10.148.245.180,2019-03-31T13:59:46Z,37950,2680,35270,71,30,41,21440 bps,282160 bps,30.00 pps,41.00 pps
corr-7141029b8977,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:48Z,10.148.245.180,2019-03-31T13:59:47Z,96809,3892,92917,126,39,87,31136 bps,743336 bps,39.00 pps,87.00 pps
corr-07646198a061,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:49Z,10.148.245.180,2019-03-31T13:59:48Z,32151,3770,28381,58,22,36,30160 bps,227048 bps,22.00 pps,36.00 pps
corr-240ed9065aef,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:50Z,10.148.245.180,2019-03-31T13:59:49Z,95003,3280,91723,106,22,84,26240 bps,733784 bps,22.00 pps,84.00 pps
corr-5c2db589dfd7,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:51Z,10.148.245.180,2019-03-31T13:59:50Z,37815,1738,36077,56,21,35,13904 bps,288616 bps,21.00 pps,35.00 pps
corr-55c2e04798df,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:52Z,10.148.245.180,2019-03-31T13:59:51Z,92405,3739,88666,119,37,82,29912 bps,709328 bps,37.00 pps,82.00 pps
corr-dc6769a054e1,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:53Z,10.148.245.180,2019-03-31T13:59:52Z,35788,1924,33864,65,26,39,15392 bps,270912 bps,26.00 pps,39.00 pps
corr-b456c4354461,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:54Z,10.148.245.180,2019-03-31T13:59:53Z,95398,3009,92389,110,27,83,24072 bps,739112 bps,27.00 pps,83.00 pps
corr-53955b881b2a,youtube_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:59:55Z,10.148.245.180,2019-03-31T13:59:54Z,42892,2236,40656,63,23,40,17888 bps,325248 bps,23.00 pps,40.00 pps
